,uid,name,gender,verify_type,verify_info
0,5871895617,幽默段子坊,1,1,知名搞笑幽默博主 搞笑视频自媒体
1,5120638966,内涵搞笑,1,1,知名搞笑幽默博主 微博签约自媒体
2,3205468931,O2O头条,0,2,O2O头条  自媒体微博
3,2111035555,以往梦回,1,0,
4,5342389966,木槿默默r1963,1,0,
5,6591518034,用户6591518034,2,0,
6,3463252864,Daisy糊糊,2,0,
7,3026526010,SuperElizabeth,2,0,
8,3575612600,比比最萌,1,0,
9,6378988761,容朕思考下,2,0,
10,5945611269,茜茜Cecilia小清新,2,0,
11,2002089892,THOUSANDSOFSUNNY,2,0,
12,5506442120,Alexia885,2,0,
13,2624359503,小院子思密达,2,0,
14,2290952121,五五舞五五,2,0,
15,5662733778,在场OnSight,1,1,微博原创视频博主
16,6417118381,十分道,2,0,
17,6144153080,用户6144153080,1,0,
18,6667588960,沙皮1979,2,0,
19,6102836500,闲云小竺,1,0,
20,2492239131,熟悉的更熟悉,1,0,
21,1462649411,智勇在线,0,2,南京交通广播《智勇在线》栏目微博
22,1144050723,气沉丹田,1,0,
23,6681520967,用户6681520967,2,0,
24,6146648275,金聊斋,1,1,头条文章作者
25,5034344609,若爱深爱丶,1,0,
26,6580581125,嘻哈社会689,1,0,
27,5655037924,不过戏中小丑,1,0,
28,6681420498,用户6681420498,1,0,
29,6609921828,理财舅赚钱,1,0,
30,1796217437,艾瑞网,0,2,聚合互联网数据资讯，融合互联网行业资源，国内首家新经济门户。
31,6326622416,用户6326622416,1,0,
32,6338474785,测相大师,1,1,知名星座命理博主 头条文章作者
33,6460333406,用户6460333406,2,0,
34,6601672163,优惠找,1,0,
35,6558652204,用户6558652204,2,0,
36,5329688561,小溪BabbIe1,1,0,
37,6612463735,区付通科技,0,2,杭州区付通网络科技有限公司
38,6357816462,时代新评,0,2,新评网 www.theping.cn
39,6135707205,秒拍秘书,0,2,秒拍客服官方账号
40,2510158274,老宁说,1,1,  上海通联科技发展有限公司 高级顾问 知名互联网资讯博主 微博签约自媒体
41,2432558802,华中师范大学广播台,0,2,华中师范大学广播台官方微博
42,1767957772,通天下,0,2,江苏广电融媒体新闻中心《通天下》栏目
43,5845729517,待我长发及腰2012,2,0,
44,6182431996,西安凯科出行,0,2,西安凯科汽车服务有限公司
45,5560341722,河南光法洛阳律师事务所,0,2,河南光法(洛阳)律师事务所
46,6653464492,用户6653464492,1,0,
47,1788567773,乐清城市网,0,2,乐清市德网文化传媒有限公司
48,1641561812,经济观察报,0,2,经济观察报官方微博
49,2989733780,郑大奋男,1,0,
50,6543758891,中达鹰扬,0,2,中达鹰扬官方微博
51,1649597805,电脑报,0,2,电脑报新媒体官方微博
52,3108778417,IN古城西安,1,1,本地资讯博主（西安）美食点评团成员 资讯视频自媒体
53,1960785875,今晚报,0,2,今晚报官方微博新浪微博社区委员会专家成员
54,6345789866,河北快报,1,1,本地资讯博主（石家庄）
55,5246182255,河洛leaf,1,0,
56,1900661044,湖南交通频道官方微博,0,2,湖南交通台官方微博
57,3815441527,攀枝花晚报,0,2,攀枝花晚报官方微博
58,6192178557,农人地带,1,0,
59,2368701104,毛正峻,1,1,上海明华房地产有限公司董事长
60,1318215557,于此聚焦,1,0,
61,5152975530,东东在线观察,1,0,
62,5988178479,大逗逼小超人,1,0,
63,1609734732,夏天谈视,1,1,秒拍达人 知名互联网资讯博主
64,1907647761,中国消费者报,0,2,中国消费者报官方微博
65,6564457014,当代网安康资讯,0,2,关注当代，眺望未来，感知行进中的安康！
66,6371241364,Clown122477,1,0,
67,5657609813,东莞网警巡查执法,0,2,东莞市公安局网络警察支队
68,5156855628,湖州广电新媒体,0,2,湖州广播电视总台新媒体中心
69,2231098810,雅安头条,0,2,雅安新报官方微博
70,1923969675,河北音乐广播,0,2,河北音乐广播官方微博、声动中国最受欢迎电台
71,2820957467,香樟法宣,0,2,上海市闵行区司法局江川司法所官方微博
72,5285525183,知面识人,1,1,星座命理博主
73,6249717501,庆祝6249717501,1,0,
74,2087169013,法制日报,0,2,法制日报官方微博
75,1750070171,36氪,0,2,36氪官方微博
76,1642088277,财经网,0,2,财经网官方微博
77,1926909715,第一财经日报,0,2,第一财经日报官方微博
78,3800181655,南京鼓楼司法在线,0,2,江苏省南京市鼓楼区司法局官方微博
79,1962117985,南国都市报,0,2,《南国都市报》官方微博
