,uid,weibo_cont,create_time,repost_num,comment_num,praise_num
0,6667588960,8月24日浙江乐清一名女孩坐滴滴网约车失联，随后遇害。事情过去已经一个多礼拜，事件还在持续发酵中。滴滴的做法遭到了大多数人的强烈抗议与抵制，很多人卸载了滴滴。很多人特别是年轻女孩不敢独自乘坐滴滴。据网上的爆料称凶手不是初犯，女孩也发现了危险并及时告知了朋友，随后朋友和女孩父母也报了警。等来的结果却是噩耗！没有人知道女孩在失联的这段时间里经历了什么，一个20岁的年轻生命戛然而止。这不是网约车第一次出事，不久前济南空姐案、深圳教师案，这也不是女孩第一次出事！一直以来女性被性侵，被猥亵、被拐卖的案件比比皆是，甚至将恶魔之手伸向了婴童！！！！世界对女性的善良远远不够，有些暴力犯罪专门针对女性。所有人都在呼吁女性一定要保护自己，我想有女孩的父母也是千叮咛万嘱咐吧，生怕这可怕的事情发生在自己孩子身上。可是这样的事情避免了吗？没有！！！！我每天都在告诉我的女儿保护自己，你却没有教你的儿子要尊重女性。更可笑的是有些言论称是女孩穿着暴露才引出这样的恶果。这又是什么鬼逻辑呢？这样的逻辑本身就是歧视女性。造成恶性事件的不是女性的妆容和衣服、不是她走路的姿势和说话的声音、不是她自己不够小心。而是施暴者自己！难道全身上下包裹严实的国家就没有性侵了吗？正如龙应台在《美丽的权利》里所提到的，“我的腿好看，我愿意穿迷你裙。我的肩漂亮，我喜欢露背装，你没有资格说我下贱。”美丽从来不是原罪，追求美也不是女孩的错。每一个生命都应该被尊重！如果男性们对女性少一些歧视，多一些尊重与爱护，我想这个世界会善良许多。因为每一个女孩都值得被这世界温柔以待！ 收起全文d,2018-09-05 13:00,0,0,0
1,6417118381,"来源:@中国之声据中国之声《新闻纵横》报道,近一段时间以来,社会上连续发生多起滴滴司机杀害乘客、性侵、性骚扰事件,特别是8月24号发生的浙江温州乐清女孩乘坐滴滴顺风车途中被害案件,引起社会高度关注和极大愤慨。8月31日,交通运输新业态协同监管部际联席会议第二次会议决定从今天起在全国范围内对所有网约车顺风车平台公司开展进驻式#京东 网约车# O网页链接 收起全文d",2018-09-05 12:58,0,0,0
2,6102836500,"来源:@中国之声据中国之声《新闻纵横》报道,近一段时间以来,社会上连续发生多起滴滴司机杀害乘客、性侵、性骚扰事件,特别是8月24号发生的浙江温州乐清女孩乘坐滴滴顺风车途中被害案件,引起社会高度关注和极大愤慨。8月31日,交通运输新业态协同监管部际联席会议第二次会议决定从今天起在全国范围内对所有网约车顺风车平台公司开展进驻式全面检查。目的是以“8&middot;24”乐清案件为切入点,立即开展安全专项检查——要坚持“全面覆盖、突出重点”的原则；要强化部门协同配合,形成检查合力；要以安全为核心,开展全面检查；要强化对存在问题的整改与问责；要加快形成安全监管的长效机制。检查如何开展?何为检查重点?据 O网页链接 收起全文d",2018-09-05 12:51,0,0,0
3,2492239131,"来源:@中国之声据中国之声《新闻纵横》报道,近一段时间以来,社会上连续发生多起滴滴司机杀害乘客、性侵、性骚扰事件,特别是8月24号发生的浙江温州乐清女孩乘坐滴滴顺风车途中被害案件,引起社会高度关注和极大愤慨。8月31日,交通运输新业态协同监管部际联席会议第二次会议决定从今天起在全国范围内对所有网约车顺风车平台公司开展进驻式全面检查。目的是以“8&middot;24”乐清案件为切入点,立即开展安全专项检查——要坚持“全面覆盖、突出重点”的原则；要强化部门协同配合,形成检查合力；要以安全为核心,开展全面检查；要强化对存在问题的整改与问责；要加快形成安全监管的长效机制。检查如何开展?何为检查重点?据 O网页链接 收起全文d",2018-09-05 12:40,0,0,0
4,1462649411,(实际上各地省市政府约谈滴滴，他们都是派几个天真无邪的小员工，忽闪着水汪汪的大眼睛，来认真听讲)【乐清乘顺风车遇害女孩出殡前，#滴滴工作人员赴殡仪馆慰问遭拒#】8月24日，浙江乐清20岁女子小赵乘坐滴滴顺风车遇害。9月1日，遇害女孩小赵出殡前一天，在乐清市殡仪馆，女孩生前好友陆续前来悼念。滴滴两名工作人员到现场慰问家属，被拒绝。#女孩乘滴滴顺风车遇害#@一手Video L一手video的秒拍视频 收起全文d,2018-09-05 12:26,1,22,6
5,1144050723,"来源:@中国之声据中国之声《新闻纵横》报道,近一段时间以来,社会上连续发生多起滴滴司机杀害乘客、性侵、性骚扰事件,特别是8月24号发生的浙江温州乐清女孩乘坐滴滴顺风车途中被害案件,引起社会高度关注和极大愤慨。8月31日,交通运输新业态协同监管部际联席会议第二次会议决定从今天起在全国范围内对所有网约车顺风车平台公司开展进驻式全面检查。目的是以“8&middot;24”乐清案件为切入点,立即开展安全专项检查——要坚持“全面覆盖、突出重点”的原则；要强化部门协同配合,形成检查合力；要以安全为核心,开展全面检查；要强化对存在问题的整改与问责；要加快形成安全监管的长效机制。检查如何开展?何为检查重点?据 O网页链接 收起全文d",2018-09-05 12:11,0,0,0
6,2492239131,"来源:@中国之声据中国之声《新闻纵横》报道,近一段时间以来,社会上连续发生多起滴滴司机杀害乘客、性侵、性骚扰事件,特别是8月24号发生的浙江温州乐清女孩乘坐滴滴顺风车途中被害案件,引起社会高度关注和极大愤慨。8月31日,交通运输新业态协同监管部际联席会议第二次会议决定从今天起在全国范围内对所有网约车顺风车平台公司开展进驻式全面检查。目的是以“8&middot;24”乐清案件为切入点,立即开展安全专项检查——要坚持“全面覆盖、突出重点”的原则；要强化部门协同配合,形成检查合力；要以安全为核心,开展全面检查；要强化对存在问题的整改与问责；要加快形成安全监管的长效机制。检查如何开展?何为检查重点?据 O网页链接 收起全文d",2018-09-05 12:10,0,0,0
7,6681520967,"来源:@中国之声据中国之声《新闻纵横》报道,近一段时间以来,社会上连续发生多起滴滴司机杀害乘客、性侵、性骚扰事件,特别是8月24号发生的浙江温州乐清女孩乘坐滴滴顺风车途中被害案件,引起社会高度关注和极大愤慨。8月31日,交通运输新业态协同监管部际联席会议第二次会议决定从今天起在全国范围内对所有网约车顺风车平台公司开展进驻式全面检查。目的是以“8&middot;24”乐清案件为切入点,立即开展安全专项检查——要坚持“全面覆盖、突出重点”的原则；要强化部门协同配合,形成检查合力；要以安全为核心,开展全面检查；要强化对存在问题的整改与问责；要加快形成安全监管的长效机制。检查如何开展?何为检查重点?据 O网页链接 收起全文d",2018-09-05 12:08,0,0,0
8,6146648275,"多部门今起进驻所有网约车顺风车平台重点检查！为了安全，为么意见这么大？据人民网 、中国之声《新闻纵横》报道,近一段时间以来,社会上连续发生多起滴滴司机杀害乘客、性侵、性骚扰事件,特别是8月24号发生的浙江温州乐清女孩乘坐滴滴顺风车途中被害案件,引起社会高度关注和极大愤慨。8月31日,交通运输新业态协同监管部际联席会议第二次会议决定从今天起在全国范围内对所有网约车顺风车平台公司开展进驻式全面检查。目的是以“8·24”乐清案件为切入点,立即开展安全专项检查——要坚持“全面覆盖、突出重点”的原则；要强化部门协同配合,形成检查合力；要以安全为核心,开展全面检查；要强化对存在问题的整改与问责；要加快形成安全监管的长效机制。检查如何开展?何为检查重点?据中国之声记者此前了解的情况来看,除滴滴外,目前国内较大的网约车平台包括首汽约车、神州专车、易道、美团等网约车平台及嘀嗒等顺风车平台等都可能被列入入驻检查的名单里。检查内容在此前的会议中并未进行详细的说明。但据了解,网约车平台公司平台、车辆、驾驶员有关许可办理情况,不符合条件的车辆和驾驶员的清退情况,以及平台公司向全国网约车监管信息交互平台的数据传输情况,平台对乘客的举报处理情况及相关应急预案的制定和体系建设等问题此前都曾被交通部反复点名,预计会是检查的重点。此外,此前的几次恶性事件也暴露出平台公司应急处置上的漏洞和保障乘客安全、确保安全生产能力上的不足,平台公司是否根据这些问题进行了有效的整改,相信也会是此次检查的重要方面。滴滴公司称将暂停部分业务夜间服务中国之声了解到,在进驻式检查的前夜,滴滴方面声明,将于O9月8日23时至9月15日凌晨5时期间 ,在中国大陆地区暂停提供深夜23时-5时时间段的出租车、快车、优步、优享、拼车、专车、豪华车服务。滴滴方面称,在此期间将落实7大相关安全整改措施。在此前的乘客遇害案件中,滴滴客户端的紧急求助功能备受诟病。在这次整改中,滴滴提出:在乘客端,9月4日起,原“紧急求助”功能升级为“一键报警”；9月13日起,司机端上线“一键报警”功能；乘客端上线“安全中心”快速入口,方便用户快速使用一键报警、行程分享等功能。此外,9月4日起,乘客端陆续提示添加紧急联系人,有助于亲友在需要时与警方迅速联动并及时获取行程信息。滴滴方面还表示,将升级全平台司机安全培训计划,司机端强化安全提示,并在每日出车前进行安全知识考核,司机通过后方可接单；同时,针对人车不符等问题,滴滴称将持续开展犯罪记录筛查、每日出车人脸识别等行动,持续配合警方坚决打击犯罪。老金一看，有点匪夷所思，各部门是为了出行人的安全，为什么千万网友意见这么大：顺风车应该是网约车里最惠民的举措了，现在却成了这样！网约车没出来的时候那些的士多牛知道吗？没体验过绝望的根本不知道，出租车想拉就拉，不合适不拉、短途不拉、不合意不拉、先问在才让你上车，有一回，天下着大雨，我下9号线，出租车司机关着门不让上车，问我去哪里，我说不远2公里，他认为排练半天就9元不拉，找借口不拉，说你找别人吧，结果浇了个落汤鸡，我说要投诉，他说随便。那种感觉一言难尽，所以自打有了滴滴等网约车后至今，我就永远不坐出租车了！是情不能一刀切，有多少滴滴家庭以跑车为生，滴滴给多少人带来方便，哈尔滨宾馆着火，把全国的所有宾馆都关了?！顺风车什么时候上线？等着坐车上班啊！请同时处理一下出租车，出租车的问题并不比网约车少！自问:顺风车有没有给网友带来便利？！老金认为，安全重要，也不能因噎废食！各出行平台方便出行是惠千万市民的大事，平台加强管理，出行自我保护意识。再硬性规定上车必须拍照司机、车传亲友，相信坏人也不敢作恶了。 收起全文d",2018-09-05 11:44,0,0,0
9,5034344609,"来源:@中国之声据中国之声《新闻纵横》报道,近一段时间以来,社会上连续发生多起滴滴司机杀害乘客、性侵、性骚扰事件,特别是8月24号发生的浙江温州乐清女孩乘坐滴滴顺风车途中被害案件,引起社会高度关注和极大愤慨。8月31日,交通运输新业态协同监管部际联席会议第二次会议决定从今天起在全国范围内对所有网约车顺风车平台公司开展进驻式全面检查。目的是以“8&middot;24”乐清案件为切入点,立即开展安全专项检查——要坚持“全面覆盖、突出重点”的原则；要强化部门协同配合,形成检查合力；要以安全为核心,开展全面检查；要强化对存在问题的整改与问责；要加快形成安全监管的长效机制。检查如何开展?何为检查重点?据 O网页链接 收起全文d",2018-09-05 11:41,0,0,0
10,6580581125,【滴滴工作人员穿“合作共赢”T恤赴殡仪馆慰问乐清乘顺风车遇害女孩家属被拒！】9月1日，乐清乘坐滴滴顺风车遇害的女孩小赵出殡前一天，在乐清市殡仪馆，滴滴两名工作人员一人穿凉拖鞋、另一人穿“合作共赢”黑色T恤，提着两箱营养品到现场慰问家属，被拒绝。两人全程面带微笑。滴滴式礼节。。。冷血 L山山水水看世界的秒拍视频 收起全文d,2018-09-05 11:18,0,0,1
11,3838701843,『乐清少女的葬礼：家属不满滴滴处理方式 民警称差点背锅-社会频道-手机搜狐』O网页链接 ​,2018-09-05 11:12,0,0,0
12,5655037924,"来源:@中国之声据中国之声《新闻纵横》报道,近一段时间以来,社会上连续发生多起滴滴司机杀害乘客、性侵、性骚扰事件,特别是8月24号发生的浙江温州乐清女孩乘坐滴滴顺风车途中被害案件,引起社会高度关注和极大愤慨。8月31日,交通运输新业态协同监管部际联席会议第二次会议决定从今天起在全国范围内对所有网约车顺风车平台公司开展进驻式全面检查。目的是以“8&middot;24”乐清案件为切入点,立即开展安全专项检查——要坚持“全面覆盖、突出重点”的原则；要强化部门协同配合,形成检查合力；要以安全为核心,开展全面检查；要强化对存在问题的整改与问责；要加快形成安全监管的长效机制。检查如何开展?何为检查重点?据 O网页链接 收起全文d",2018-09-05 11:09,0,0,0
13,6681420498,发表了博文《滴滴顺风车整改之我见》前段时间乐清女孩顺风车遇害事件引发了社会对顺风车这种出行方式的深度置疑，口诛笔伐者有之，为其辩护者有之。十一个城市的相关部门也先后约谈了滴滴公司，滴滴顺风车无限期下架O滴滴顺风车整改之我见 ​,2018-09-05 11:02,0,0,0
14,6609921828,发表了博文《宅少爷：滴滴同意捐赠100万救援器材，网友：要个道歉怎么那么难？》从滴滴“空姐遇害案”到“乐清女孩顺风车遇害”在到滴滴同意捐赠100万救援器材，又是抢占了一波热搜，在这次“滴滴同意捐赠”的O宅少爷：滴滴同意捐赠100万救援器材，网友：要个道歉怎么那么难？ ​,2018-09-05 11:00,0,0,0
15,1796217437,【多部门进驻所有网约车顺风车平台 这些将是检查重点】据中国之声《新闻纵横》报道，近一段时间以来，社会上连续发生多起滴滴司机杀害乘客、性侵、性骚扰事件，特别是8月24号发生的浙江温州乐清女孩乘坐滴滴顺风车途中被害案件，引起社会高度关注和极大愤慨。O多部门进驻所有网约车顺风车平台 这些将是检查重点 ​,2018-09-05 11:00,0,0,0
16,6326622416,"来源:@中国之声据中国之声《新闻纵横》报道,近一段时间以来,社会上连续发生多起滴滴司机杀害乘客、性侵、性骚扰事件,特别是8月24号发生的浙江温州乐清女孩乘坐滴滴顺风车途中被害案件,引起社会高度关注和极大愤慨。8月31日,交通运输新业态协同监管部际联席会议第二次会议决定从今天起在全国范围内对所有网约车顺风车平台公司开展进驻式全面检查。目的是以“8&middot;24”乐清案件为切入点,立即开展安全专项检查——要坚持“全面覆盖、突出重点”的原则；要强化部门协同配合,形成检查合力；要以安全为核心,开展全面检查；要强化对存在问题的整改与问责；要加快形成安全监管的长效机制。检查如何开展?何为检查重点?据 O网页链接 收起全文d",2018-09-05 10:43,0,0,0
17,6338474785,近一段时间以来，社会上连续发生多起滴滴司机杀害乘客、性侵、性骚扰事件，特别是8月24日发生的浙江温州乐清女孩乘坐滴滴顺风车途中被害案件，引起社会高度关注和极大愤慨。正值开学季，当你遇上直男癌教授当众对女生语言羞辱，你会像片中的他们勇敢地举起双手吗？一个人的力量或许渺小，但大家一起或许就能看到改变。今天也来看一下什么长相的男性会比较容易骚扰女性呢？1、通常一个男人如果是国字脸即相学上的土字脸，且眼睛不一般大，又是双眼皮，就会性力十足。2、该位男性眼角周围之处皮肤光滑出油而且较厚，且毛发浓密、鼻子高挺、嘴巴丰厚、耳朵贴面的话，就说明他的阳刚之性比较重，更是需要小心防范。3、除了面相上的这些特征外，如果手相的感情线上有三叉，就更是说明这个男人很容易成为骚扰别人的人。 L测相大师的秒拍视频 收起全文d,2018-09-05 10:42,55,1,97
18,6460333406,"来源:@中国之声据中国之声《新闻纵横》报道,近一段时间以来,社会上连续发生多起滴滴司机杀害乘客、性侵、性骚扰事件,特别是8月24号发生的浙江温州乐清女孩乘坐滴滴顺风车途中被害案件,引起社会高度关注和极大愤慨。8月31日,交通运输新业态协同监管部际联席会议第二次会议决定从今天起在全国范围内对所有网约车顺风车平台公司开展进驻式全面检查。目的是以“8&middot;24”乐清案件为切入点,立即开展安全专项检查——要坚持“全面覆盖、突出重点”的原则；要强化部门协同配合,形成检查合力；要以安全为核心,开展全面检查；要强化对存在问题的整改与问责；要加快形成安全监管的长效机制。检查如何开展?何为检查重点?据 O网页链接 收起全文d",2018-09-05 10:37,0,0,0
19,6601672163,"来源:@中国之声据中国之声《新闻纵横》报道,近一段时间以来,社会上连续发生多起滴滴司机杀害乘客、性侵、性骚扰事件,特别是8月24号发生的浙江温州乐清女孩乘坐滴滴顺风车途中被害案件,引起社会高度关注和极大愤慨。8月31日,交通运输新业态协同监管部际联席会议第二次会议决定从今天起在全国范围内对所有网约车顺风车平台公司开展进驻式全面检查。目的是以“8&middot;24”乐清案件为切入点,立即开展安全专项检查——要坚持“全面覆盖、突出重点”的原则；要强化部门协同配合,形成检查合力；要以安全为核心,开展全面检查；要强化对存在问题的整改与问责；要加快形成安全监管的长效机制。检查如何开展?何为检查重点?据 O网页链接 收起全文d",2018-09-05 10:31,0,0,0
20,6558652204,自从滴滴火了以后，我出门打车，除了滴滴顺风车就是滴滴快车，因为滴滴更便宜，所以已经好久都没有打过出租车了。但是，前不久的空姐滴滴乘车遇害案才过去不久，这两天又有乐清女孩遭遇不幸，滴滴平台接二连三的出现这样的人命案件。是滴滴平台的不作为，还是这个社会的人性太险恶... O网页链接 收起全文d,2018-09-03 13:47,0,0,0
21,5329688561,惋惜！一个天真活泼的女孩，就这样过早的逝去了。再多的哀思，都难以告慰逝者！『乐清女孩乘滴滴遇害案情进展 女孩被害前经历可怕的36分钟』O乐清女孩乘滴滴遇害案情进展 女孩被害前经历可怕的36分钟 ​,2018-09-03 13:39,4,4,3
