u1019	i426	1
u1024	i194	1
u108	i42	1
u108	i488	1
u108	i194	1
u109	i413	1
u109	i194	1
u110	i513	1
u110	i194	1
u111	i111	1
u111	i201	1
u1121	i122	1
u1122	i590	1
u1123	i568	1
u1123	i194	1
u1124	i151	1
u1124	i194	1
u1125	i568	1
u1125	i115	1
u1125	i194	1
u1126	i155	1
u1126	i194	1
u1127	i188	1
u1127	i194	1
u1128	i194	1
u1129	i483	1
u1129	i194	1
u1148	i194	1
u1148	i538	1
u1149	i367	1
u1149	i605	1
u1149	i131	1
u1149	i329	1
u1149	i276	1
u1149	i18	1
u1154	i385	1
u1154	i316	1
u1155	i129	1
u1155	i194	1
u1156	i139	1
u1156	i388	1
u1157	i251	1
u1157	i194	1
u1163	i194	1
u1163	i639	1
u1163	i420	1
u1163	i194	1
u1164	i194	1
u1164	i472	1
u1164	i194	1
u1170	i32	1
u1170	i99	1
u1170	i101	1
u1170	i189	1
u1170	i101	1
u1170	i468	1
u1170	i101	1
u1170	i88	1
u1170	i101	1
u1170	i121	1
u1170	i101	1
u1170	i101	1
u1170	i138	1
u118	i413	1
u118	i194	1
u119	i194	1
u1202	i125	1
u1212	i251	1
u1212	i480	1
u1212	i194	1
u1215	i251	1
u1215	i194	1
u1242	i67	1
u1243	i138	1
u1244	i238	1
u1244	i251	1
u1244	i194	1
u1245	i350	1
u1245	i371	1
u1246	i138	1
u1247	i67	1
u1248	i67	1
u1249	i138	1
u1268	i350	1
u1268	i371	1
u1269	i67	1
u1270	i138	1
u1300	i123	1
u1300	i194	1
u1301	i207	1
u1301	i253	1
u1302	i511	1
u1302	i201	1
u1303	i549	1
u1304	i526	1
u1304	i253	1
u1305	i505	1
u1305	i189	1
u1306	i494	1
u1306	i281	1
u1306	i153	1
u1339	i55	1
u1339	i618	1
u1341	i327	1
u1342	i150	1
u138	i454	1
u138	i363	1
u1380	i332	1
u1380	i67	1
u1380	i19	1
u1381	i270	1
u139	i215	1
u139	i469	1
u139	i194	1
u1390	i110	1
u1391	i378	1
u1399	i384	1
u1399	i364	1
u14	i194	1
u140	i251	1
u140	i356	1
u140	i535	1
u140	i251	1
u140	i194	1
u1400	i384	1
u1400	i364	1
u1400	i194	1
u1401	i358	1
u1401	i477	1
u1401	i194	1
u1401	i194	1
u1402	i155	1
u1402	i194	1
u1428	i348	1
u143	i555	1
u1434	i305	1
u1434	i194	1
u1434	i194	1
u1435	i305	1
u1435	i311	1
u1435	i194	1
u1435	i194	1
u1438	i155	1
u1438	i194	1
u1439	i358	1
u1439	i477	1
u1439	i194	1
u1439	i194	1
u1442	i358	1
u1442	i477	1
u1442	i194	1
u1442	i194	1
u1443	i155	1
u1443	i194	1
u1449	i384	1
u1449	i364	1
u1449	i194	1
u145	i555	1
u1462	i452	1
u1468	i637	1
u1468	i194	1
u1469	i214	1
u1480	i387	1
u1482	i384	1
u1482	i364	1
u1485	i110	1
u1491	i251	1
u1491	i480	1
u1491	i194	1
u1492	i16	1
u1492	i194	1
u1493	i493	1
u1494	i594	1
u1502	i84	1
u1511	i15	1
u1511	i306	1
u1519	i251	1
u1519	i194	1
u152	i558	1
u1520	i73	1
u1525	i73	1
u1526	i465	1
u1526	i194	1
u1526	i617	1
u1526	i434	1
u1528	i407	1
u1534	i194	1
u1559	i60	1
u1559	i194	1
u156	i353	1
u1566	i486	1
u1566	i194	1
u1567	i63	1
u1567	i194	1
u1568	i67	1
u1568	i194	1
u157	i338	1
u159	i130	1
u159	i389	1
u159	i194	1
u1591	i155	1
u1591	i194	1
u1592	i155	1
u1592	i194	1
u1595	i552	1
u1600	i238	1
u1600	i251	1
u1600	i194	1
u1601	i350	1
u1601	i371	1
u1602	i138	1
u1603	i67	1
u1612	i416	1
u1612	i194	1
u1613	i194	1
u1614	i415	1
u1614	i121	1
u1618	i415	1
u1618	i121	1
u1619	i194	1
u1622	i638	1
