,uname,uid,text,create_time
0,胡萝卜的吉光片羽,4276871438927047,天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散🙏🙏 http://t.cn/RkEKaqy,2018-08-25 11:51:13
1,山崎耶耶子,4276756096088179,求求大家帮忙转发一下 我朋友司机和车都还没找到[泪]//@CCZHu_:@平安温州 @温州交警 @温州发布 @凤凰网 @新华网 @搜狐新闻 @腾讯新闻 @温州草根新闻 @头条新闻 @新闻晨报 @南方周末,2018-08-25 04:12:54
2,吐槽鬼,4276852417746845,"@滴滴出行 出来讲清楚啊.你们他妈从上次到现在到底做了什么整改？ //@七福团子:当事人是我表姐,这个司机不是第一次作案,之前也有妹子差点遇到危险,但申报给滴滴根本没有处理！拖延到现在又出问题！牌照是川A31J0Z，司机如图 http://t.cn/RkEhJKc",2018-08-25 10:35:39
3,白泽_MEOWMERS,4276859614675554,小姑娘穿着长裤，白天打车，得知危险紧急处理了，还是死了。你告诉我什么他妈的叫安全啊。干脆地铁全做成女性专属，男的都去打车得了？,2018-08-25 11:04:16
4,CCZHu_,4276729847762248,@平安温州 @温州交警 @温州发布 @凤凰网 @新华网 @搜狐新闻 @腾讯新闻 @温州草根新闻 @头条新闻 @新闻晨报 @南方周末,2018-08-25 02:28:36
5,患者阿离,4276900861887696,//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散🙏🙏,2018-08-25 13:48:09
6,iDest,4276889218961344,//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散🙏🙏 http://t.cn/RkEKaqy,2018-08-25 13:01:53
7,穿袜子的秋裤,4276801255690936,//@铁柱基爸://@钱门://@钱门:失踪的是我妹妹的大学室友！请大家转发一下！@平安温州 @温州交警 @温州发布 @凤凰网 @新华网 @搜狐新闻 @腾讯新闻 @温州草根新闻 @头条新闻 @新闻晨报 @南方周末,2018-08-25 07:12:21
8,七福团子,4276847145374878,[蜡烛]谢谢关注和帮忙扩散的各位朋友//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散🙏🙏 http://t.cn/RkEKaqy,2018-08-25 10:14:42
9,林莱莱呀,4276869580511234,请继续扩散继续发酵一定要还我朋友一个公道,2018-08-25 11:43:51
10,成功的第一步_9653,4300142544644409,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-28 17:02:18
11,抽屉自助餐桌,4298734693421818,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-24 19:48:00
12,三木0081888,4298547241489087,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-24 07:23:07
13,zjliyiqi,4298442790553237,转发微博,2018-10-24 00:28:05
14,城1市9猎8人8,4298095842227803,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-23 01:29:26
15,V1ncent-M,4298080809881165,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-23 00:29:42
16,勤劳的过江龙_539_855_398,4298027705881695,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-22 20:58:41
17,可爱海云依然,4297384178071954,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-21 02:21:31
18,非常清淡_740,4297336278684969,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-20 23:11:11
19,yuan-行_858,4297295997053759,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-20 20:31:08
20,脆弱的小几,4297285272185477,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-20 19:48:31
21,胡椒粉特惠价_1gt,4297066317022105,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-20 05:18:28
22,羊肉串王子基,4297007726591304,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-20 01:25:39
23,坂田甜栗子_600,4296878311180060,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-19 16:51:24
24,HZQ12341993,4296849894880837,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-19 14:58:29
25,1183e努力天天向上,4296728847361052,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-19 06:57:29
26,打尔文,4296482951839949,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-18 14:40:23
27,黑夜的一点烛光_584,4296310574612233,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-18 03:15:25
28,无间使者2613085145,4296164495411294,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-17 17:34:56
29,简单0度,4296152968805704,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-17 16:49:09
30,碧海蓝天xtr_686_566,4295438645280848,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-15 17:30:40
31,Ses-CC,4295299176379012,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-15 08:16:29
32,日式煎奶茶,4295192880557524,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-15 01:14:05
33,liyongaaaaaa_814,4295166062265200,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-14 23:27:31
34,_________鲁能成源,4295110290151991,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-14 19:45:55
35,呡口小酒_429,4294897438189654,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-14 05:40:06
36,欢乐小酒窝,4294364090341611,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-12 18:20:46
37,焦元潇_252,4294355961865496,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-12 17:48:28
38,不折不屈_179,4294339876859909,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-12 16:44:34
39,Hi小竹竹,4294133453679440,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-12 03:04:19
40,谨慎加细心,4293743916572353,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-11 01:16:26
41,用户6530835903,4293528077130563,转发微博,2018-10-10 10:58:46
42,yanweifh_9dc4f5,4293369641778578,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-10 00:29:12
43,黑猫警长_63327,4293277815825836,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-09 18:24:18
44,闲唠么,4293225432964308,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-09 14:56:09
45,欢乐的彩虹下的约定,4293058566678243,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-09 03:53:06
46,a席星慰,4292790563629981,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-08 10:08:09
47,梦想达人秀,4292212244484597,转发微博,2018-10-06 19:50:07
48,沉默的心声说出来,4291928369989333,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-06 01:02:06
49,Lilian_ya,4291761058923913,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-05 13:57:16
50,愤怒的刁先生,4291576677434436,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-05 01:44:36
51,shuaikunsu,4291326126651491,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-04 09:09:00
