,uid,name,gender,verify_type,verify_info
0,6338474785,测相大师,1,1,知名星座命理博主 头条文章作者
1,6331080564,百家飘絮,1,0,
2,6679558041,死磕到底111,1,0,
3,1878323355,安徽大学,0,2,安徽大学、教育官微联盟成员
4,1859428970,中国警察网,0,2,中国警察网官方围脖
5,2973557572,延安中公教育,0,2,北京中公教育科技股份有限公司延安分公司
6,2604727343,Sham_James,1,0,
7,3427797390,smile011209,2,0,
8,3673116041,wuli_xxxiaobao_,2,0,
9,6618563841,谢谢小辉辉,1,0,
10,2356975885,今天给杨洋打电话了吗,2,0,
11,2804691203,毕节魅力夜郎头条,1,1,资讯视频自媒体
12,5483930163,wwwwww三伯光溜溜,2,0,
13,1751163271,X斯达,1,0,
14,5989915336,用户5989915336,2,0,
15,6479205648,FusionBlock,0,2,成都融数链科技有限公司官方微博
16,1758748503,外刊IT评论,1,0,
17,5134120283,ShadyFairytale,1,1,多玩信息技术有限公司游戏主播
18,6130476734,一个莫名其妙的QI,2,0,
19,2740521914,天地1片苍茫,1,0,
20,5078493126,一只丢掉了她的微博,1,0,
21,5342389966,木槿默默r1963,1,0,
22,6591518034,用户6591518034,2,0,
23,3205468931,O2O头条,0,2,O2O头条  自媒体微博
24,2290952121,五五舞五五,2,0,
25,6570561005,CheeSeWky,1,0,
26,1741814710,黄小娜nana0907,0,2,梦想raido电台 主播
27,6663880024,混合日报MixtureDaily,1,0,
28,6393784605,风起于青萍之末止于草莽之间,2,0,
29,2420916845,CXY还是CXY的那个CXY,2,0,
30,2118930044,格瑞希轻奢护肤管理,2,0,
31,6570847001,最真实的瞬间,1,1,头条文章作者
32,6059965542,天空下的缘分_25719,2,0,
33,5884250760,广告小沙弥,1,1,教育博主
34,5889818868,little经查妞子已成年,2,0,
35,5150135461,PR传媒老妖-chenjuan,2,0,
36,3678274985,给我端一碗露水来,2,0,
37,5857750043,扪虱199911,1,0,
38,5351811737,莛露,2,0,
39,6702409294,用户6702409294,1,0,
40,2535267903,场库视频,2,1,知名电影博主
41,1919044010,丁建仁,1,0,
42,2997291274,落雨无情终成觞,1,1,前 陕西点名网信息技术有限公司 运营总监
43,6435283311,龙long0221,1,0,
44,1900661044,湖南交通频道官方微博,0,2,湖南交通台官方微博
45,1586695584,小台吃菜,2,0,
46,5967647961,蛋挞皮衣,2,0,
47,2517089405,爱达阅读总部,1,0,
48,1401314247,晓晓的笔,1,0,
49,1075970297,慈溪电视台关注栏目,0,2,慈溪市广播电视台关注栏目
50,1395622123,浙江经视,0,2,电视机构
51,5122582985,用户5122582985,1,0,
52,5867613348,迷失的分岔口,1,0,
53,6572105155,play依瑶2018,2,0,
54,5431935381,抓狂的兔子豆,2,0,
55,1752549400,全景网,0,2,全景网 官方微博 http://www.p5w.net/
56,1868398802,星星197005,2,0,
57,1974561081,网易财经,0,2,网易财经官方微博
58,6415759333,不要色拉酱的蟹子,1,0,
59,6594037023,用户6594037023,2,0,
60,6477395139,云海逍遥201408,1,0,
61,1003638770,用户jq8yv7j1pv,1,0,
62,1837187231,胖不敦儿,2,0,
63,1709528362,carsonccc,1,0,
64,1654424264,鑫美嘉家具全屋定制15663480238,1,0,
65,2600355755,机智的石头666,1,0,
66,6160717808,吃货喵恋歌,2,0,
67,2871948683,三体-丁仪博士,2,0,
68,6221741735,公文包101,1,0,
69,2669641841,FrankEnjoyLife-Everyday,1,0,
70,1663236061,童大焕,1,1,重邮移通学院大焕城市化战略研究院院长 微博签约自媒体
71,1564243777,殷锋海,1,1,知名互联网资讯博主 头条文章作者 微博签约自媒体
72,5034901460,老谭电商,1,1,微博2017十大影响力 电商自媒体大V 知名互联网资讯博主 微博签约自媒体
73,3299017043,董水易123456,1,0,
74,1996708643,香港紫荆网,0,2,《紫荆》杂志官方微博
75,5946994140,区块链日报,1,1,财经博主 头条文章作者
76,1878726905,动点科技,0,2,动点科技(cn.technode.com)官方微博
77,1847629777,Cheevin_ete,2,0,
78,6041257942,元甲86,1,0,
79,6666468571,湖南高校那些事儿,2,1,本地资讯博主（长沙） 知名校园博主
80,1750070171,36氪,0,2,36氪官方微博
81,6153259652,财约你,0,2,腾讯财经栏目《财约你》
82,6130838214,Ruyerun,2,0,
83,5167417291,德宝居士,1,0,
84,3904508296,新城社会监督员,1,0,
85,5378846552,北京赞扬律师事务所,1,0,
86,2216937203,黑山老妖怪能吃么,2,0,
87,1364711444,素馨未语,2,0,
88,2688975231,微醺的太白,1,0,
89,3170740317,世界末日后-新元年,1,0,
90,3223018530,Mr_往事和酒,1,0,
91,6621347906,唯爱参木wxl,2,0,
92,5532084803,全球趣闻中心,2,1,知名搞笑幽默博主 搞笑视频自媒体
93,5938967572,颜亦舒,2,0,
94,2010810587,优雅De活着,1,0,
95,5481776674,嘉友悦,1,0,
96,1950017371,勉強--,2,0,
97,5272265474,xiguac西瓜虫,2,0,
98,3158781183,下亚厘毕道-,1,0,
99,5882346677,通辽观察,0,2,内蒙古通辽市互联网信息办公室官方微博
100,2215792485,WoJiaoLao艾,1,0,
101,1770493244,傲霜雪2010,1,0,
102,1876733815,牵引风筝2017,1,0,
103,1840105820,布女士吗,2,0,
104,2767031295,Raul_lu,1,0,
105,1767957772,通天下,0,2,江苏广电融媒体新闻中心《通天下》栏目
106,3813113336,果喵正在画画O,2,0,
107,5451878583,深水幽蓝i华,1,0,
108,5430893418,外汇贵金属分析师-Han,1,0,
109,1417118334,sina姜丁,1,0,
110,6345789866,河北快报,1,1,本地资讯博主（石家庄）
111,1290316400,鹿王826,1,0,
112,1756649857,叶小野_,2,0,
113,1788399385,芷岸兰汀-1,2,0,
114,2773543631,辞池,1,1,游戏博主
115,3785156804,李明升的杂货铺,1,0,
116,1894214290,郭俊峰V,1,1,微商团创始人
117,2357213493,虎嗅APP,0,2,虎嗅网huxiu.com官方微博
118,6004281123,梨视频,0,2,资讯短视频平台
119,5852471106,tr今天你瘦了吗,2,0,
120,6153833010,Ptaxi网约车,1,0,
121,3231524780,JIN_GENERATION旗舰店,0,2,金世纪服装(深圳)有限公司
122,6385697875,网约车内参,1,0,
123,1036713140,杭州网,0,2,杭州网官方微博
124,1853942092,真爱王子i,1,1,联鸿发电业（深圳）有限公司 保安员
125,5990999647,霸道总裁,1,1,游戏公司总裁 限量版劳斯莱斯车主
126,1772030955,金玉堂先生,1,1,河南钱易贷网络科技有限公司 董事长
127,6255163280,来自东方的思考者,1,0,
128,6346999207,罂粟Rose冰,2,0,
129,2203282867,柯岚-教书的人,2,1,西北大学法学院教授
130,6589530162,一棵韭菜精,2,0,
131,1224921712,1224921712_118,1,0,
132,5917076274,fex0823,1,0,
133,6518114741,龙见度,1,0,
134,2392261910,社会网络与数据挖掘,0,2,社会网络与数据挖掘自媒体微博
135,6276511973,爱薯条323,2,0,
136,5515155853,容川不在,1,0,
137,1818289220,指针码,1,1,知名数码博主 头条文章作者
138,3726112162,崇左网警巡查执法,0,2,广西崇左市公安局网络安全保卫支队官方微博
139,1851663401,叶丑,1,0,
140,6361762327,大枝,2,0,
141,2560803142,春风吹又生0,1,0,
142,6290330001,甜了个裕,2,0,
143,2145932164,东莞日报,0,2,东莞日报官方微博
144,2167406082,小强热线-浙江教科,0,2,浙江电视台教育科技频道《小强热线》栏目官方微博
145,2645050912,江阴日报,0,2,江阴日报官方微博
146,1063994633,中山程,1,1,中山日报新闻总监兼采访部主任 
147,5969579630,森柒0,2,0,
148,6642324509,计然区块链研究院,1,0,
149,1861477054,何天恩,1,1,  衢州柯城奇正企业文化工作室 创始人 资讯视频自媒体
150,2879377304,父亲大人不是鬼,1,0,
151,1422899355,智文阿刚,1,1,智文企业  总经理 财经视频自媒体
152,1840551510,湖北之声,0,2,湖北广播电视台-湖北之声 官方微博
153,2267322940,吴萌萌他妈妈,2,0,
154,3441480070,章扬听冫雨,2,0,
155,1928159762,金华网警巡查执法,0,2,金华市公安局网警支队
156,1910019822,8099999,0,2,昆明电视台K6春城频道官方微博
157,6250824982,时间视频,0,2,北京时间旗下泛资讯短视频平台
158,2431078520,常熟谢桥派出所,0,2,常熟市公安局谢桥派出所官方微博
159,5180419939,静静的萧声,1,0,
160,5474647599,芸生结海,1,0,
161,1403008441,乖乖的大风起云飞扬,1,0,
162,5861593401,人大集团CEO,1,1,头条文章作者
163,1989020644,STV新闻坊,0,2,由于认证主体已发生改变，故申请变更为上海广播电视台。
164,3861202070,牡丹江铁路运输法院,0,2,黑龙江省牡丹江铁路运输法院官方微博
165,6320391256,澎湃聚合,0,2,澎湃聚合官方微博
166,1411489797,风吟天下,1,1,知名旅游博主 媒体人（济南） 头条文章作者 微博签约自媒体
167,5049157639,新浪广东珠海,0,2,新浪广东珠海官方微博
168,1722534683,Super_4ong,1,1,女孩乘坐滴滴遇害案当事人朋友
169,1644114654,新京报,0,2,新京报官方微博
170,5993531560,中新经纬,0,2,中新经纬官方微博
171,1974576991,环球时报,0,2,《环球时报》微博
172,1642482194,创业家传媒,0,2,北京创业未来传媒技术有限公司
173,2328516855,公安部打四黑除四害,0,2,公安部治安管理局暨打四黑除四害专项行动办公室官方微博
174,1926909715,第一财经日报,0,2,第一财经日报官方微博
175,1649173367,每日经济新闻,0,2,《每日经济新闻》官方微博
176,1665808371,平民王小石,1,0,
177,1686546714,环球网,0,2,环球网微博
178,1642634100,新浪科技,0,2,新浪科技官方微博
179,3269886993,金融段子王,2,1,知名财经博主 头条文章作者 微博签约自媒体
180,3884951883,我女朋友姓石,1,0,
181,1649597805,电脑报,0,2,电脑报新媒体官方微博
182,1885454921,蓝鲸财经记者工作平台,0,2,蓝鲸财经记者工作平台官方微博www.lanjinger.com
183,3542666181,苏F-南通豪车荟,1,1,知名汽车博主 汽车视频自媒体
184,2630182381,影士禾木兄,1,1,微博知名电影博主 资深影评人 微博签约自媒体
185,1847123567,香港商報網,0,2,香港商报和香港商报网的官方微博
186,1971487163,戈弋______,2,0,
187,1641561812,经济观察报,0,2,经济观察报官方微博
188,5579665135,IDoNoth,1,0,
189,1760586325,一刻talks,0,2,一刻talks官方媒体
190,1351051897,陈生大王,1,1,电视媒体人 知名萌宠博主 萌宠视频自媒体
191,1644510497,商界BUSINESS,0,2,商界杂志官方微博
